pathway,overlap,gene_set_size,pathway_size,p_value
RESPONSE TO TESTOSTERONE,5,433,14,0.014067382207180177
NATURAL KILLER CELL ACTIVATION,9,433,36,0.014338171675773377
NEGATIVE REGULATION OF PROTEOLYSIS,9,433,36,0.014338171675773377
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS,50,433,335,0.014894967267840363
ADAPTIVE THERMOGENESIS,12,433,55,0.015340686212532439
RESPONSE TO CALCIUM ION,12,433,55,0.015340686212532439
RESPONSE TO TYPE II INTERFERON,7,433,25,0.016038287000453334
POSITIVE REGULATION OF ALPHA BETA T CELL ACTIVATION,7,433,25,0.016038287000453334
INTRACELLULAR MONOATOMIC ION HOMEOSTASIS,25,433,146,0.016795242810686777
NEUTRAL LIPID METABOLIC PROCESS,9,433,37,0.01714708414966678
L AMINO ACID METABOLIC PROCESS,6,433,20,0.018010330630091376
ISOPRENOID METABOLIC PROCESS,6,433,20,0.018010330630091376
MUSCLE SYSTEM PROCESS,25,433,147,0.01820662995114028
RESPONSE TO MUSCLE ACTIVITY,4,433,10,0.018211533914359833
ANDROGEN METABOLIC PROCESS,4,433,10,0.018211533914359833
NEUTRAL AMINO ACID TRANSPORT,4,433,10,0.018211533914359833
RESPONSE TO ALCOHOL,17,433,90,0.01849146716462583
REGULATION OF SMALL MOLECULE METABOLIC PROCESS,18,433,97,0.01856503980588091
POSITIVE REGULATION OF G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,5,433,15,0.01921995299424031
NEGATIVE REGULATION OF LIPID LOCALIZATION,5,433,15,0.01921995299424031
REGULATION OF ATP DEPENDENT ACTIVITY,5,433,15,0.01921995299424031
POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE,5,433,15,0.01921995299424031
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY HORMONE,5,433,15,0.01921995299424031
RESPONSE TO PH,5,433,15,0.01921995299424031
REGULATION OF HORMONE LEVELS,32,433,200,0.019290870398520007
NEGATIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS,14,433,70,0.019512516544670955
SECONDARY ALCOHOL METABOLIC PROCESS,7,433,26,0.01991266078414718
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,7,433,26,0.01991266078414718
CELL MATRIX ADHESION,15,433,77,0.02003981990186156
POSITIVE REGULATION OF CYTOSKELETON ORGANIZATION,8,433,32,0.020522911316152175
NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,3,433,6,0.021011526801096806
TRIGLYCERIDE STORAGE,3,433,6,0.021011526801096806
DEOXYRIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,3,433,6,0.021011526801096806
DEOXYRIBONUCLEOTIDE METABOLIC PROCESS,3,433,6,0.021011526801096806
RESPONSE TO ALDOSTERONE,3,433,6,0.021011526801096806
NATURAL KILLER CELL PROLIFERATION,3,433,6,0.021011526801096806
REVERSE CHOLESTEROL TRANSPORT,3,433,6,0.021011526801096806
REGULATION OF ANGIOTENSIN LEVELS IN BLOOD,3,433,6,0.021011526801096806
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,3,433,6,0.021011526801096806
ETHER METABOLIC PROCESS,3,433,6,0.021011526801096806
CELLULAR RESPONSE TO ALDEHYDE,3,433,6,0.021011526801096806
INTESTINAL LIPID ABSORPTION,3,433,6,0.021011526801096806
ALCOHOL CATABOLIC PROCESS,3,433,6,0.021011526801096806
XENOBIOTIC CATABOLIC PROCESS,3,433,6,0.021011526801096806
PURINE NUCLEOBASE METABOLIC PROCESS,3,433,6,0.021011526801096806
NUCLEOSIDE METABOLIC PROCESS,3,433,6,0.021011526801096806
TEMPERATURE HOMEOSTASIS,13,433,64,0.021213695205137367
ACUTE PHASE RESPONSE,6,433,21,0.022919480609292057
TOLL LIKE RECEPTOR SIGNALING PATHWAY,6,433,21,0.022919480609292057
INTEGRIN MEDIATED SIGNALING PATHWAY,9,433,39,0.023935384549236716
REGULATION OF FATTY ACID METABOLIC PROCESS,7,433,27,0.024395636199359586
ORGANIC ACID TRANSMEMBRANE TRANSPORT,8,433,33,0.024552033421880406
DEFENSE RESPONSE TO GRAM POSITIVE BACTERIUM,8,433,33,0.024552033421880406
REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,8,433,33,0.024552033421880406
FATTY ACID BIOSYNTHETIC PROCESS,8,433,33,0.024552033421880406
RESPONSE TO CORTICOSTEROID,11,433,52,0.024737488507026527
REGULATION OF ACTIN FILAMENT BASED PROCESS,15,433,79,0.02491565860654036
INTERLEUKIN 17 PRODUCTION,5,433,16,0.02547232389970068
ADENYLATE CYCLASE INHIBITING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,5,433,16,0.02547232389970068
NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,5,433,16,0.02547232389970068
REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,5,433,16,0.02547232389970068
RESPONSE TO MINERALOCORTICOID,5,433,16,0.02547232389970068
NEGATIVE REGULATION OF PHOSPHORYLATION,12,433,59,0.026047632820714987
CIRCADIAN SLEEP WAKE CYCLE,4,433,11,0.02615872992346432
VENTRICULAR SYSTEM DEVELOPMENT,4,433,11,0.02615872992346432
PROTEIN ACTIVATION CASCADE,4,433,11,0.02615872992346432
BLOOD COAGULATION FIBRIN CLOT FORMATION,4,433,11,0.02615872992346432
NEGATIVE REGULATION OF BLOOD PRESSURE,4,433,11,0.02615872992346432
NEGATIVE REGULATION OF T CELL APOPTOTIC PROCESS,4,433,11,0.02615872992346432
CHOLESTEROL STORAGE,4,433,11,0.02615872992346432
REGULATION OF CHOLESTEROL STORAGE,4,433,11,0.02615872992346432
OSTEOCLAST DIFFERENTIATION,10,433,46,0.026442629470622658
ALCOHOL METABOLIC PROCESS,13,433,66,0.02691549903018542
RESPONSE TO LIPID,46,433,315,0.02741726048020392
REGULATION OF PEPTIDE TRANSPORT,16,433,87,0.027671510851271494
REGULATION OF MUSCLE SYSTEM PROCESS,16,433,87,0.027671510851271494
INORGANIC ANION TRANSMEMBRANE TRANSPORT,9,433,40,0.027964684359811948
AMINO ACID TRANSPORT,9,433,40,0.027964684359811948
GLUTAMATE RECEPTOR SIGNALING PATHWAY,6,433,22,0.028653649301975347
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,6,433,22,0.028653649301975347
POSITIVE REGULATION OF FAT CELL DIFFERENTIATION,7,433,28,0.029525649219673454
CALCIUM ION HOMEOSTASIS,18,433,102,0.029757995507374062
MULTI MULTICELLULAR ORGANISM PROCESS,13,433,67,0.03015497386095952
PROTEOLYSIS,36,433,238,0.030213254068889556
PHAGOCYTOSIS,14,433,74,0.030533508972801826
REGULATION OF TRANSMEMBRANE TRANSPORT,22,433,132,0.03176118853072214
RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,19,433,110,0.03181724095068423
CHLORIDE TRANSPORT,9,433,41,0.03244820658493083
CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,5,433,17,0.0328904092605506
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL,5,433,17,0.0328904092605506
NEGATIVE REGULATION OF PHOSPHATIDYLINOSITOL 3 KINASE PROTEIN KINASE B SIGNAL TRANSDUCTION,5,433,17,0.0328904092605506
RESPONSE TO ELECTRICAL STIMULUS,5,433,17,0.0328904092605506
NEGATIVE REGULATION OF PROTEIN MODIFICATION PROCESS,13,433,68,0.0336689445245987
PLASMINOGEN ACTIVATION,3,433,7,0.03378216075532161
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS,3,433,7,0.03378216075532161
NEGATIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,3,433,7,0.03378216075532161
TYPE II INTERFERON MEDIATED SIGNALING PATHWAY,3,433,7,0.03378216075532161
NEGATIVE REGULATION OF NUCLEOTIDE CATABOLIC PROCESS,3,433,7,0.03378216075532161
REGULATION OF SENSORY PERCEPTION,3,433,7,0.03378216075532161
PANCREATIC JUICE SECRETION,3,433,7,0.03378216075532161
CELLULAR RESPONSE TO PH,3,433,7,0.03378216075532161
POSITIVE REGULATION OF CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,3,433,7,0.03378216075532161
REGULATION OF CARDIAC MUSCLE ADAPTATION,3,433,7,0.03378216075532161
BIOMINERAL TISSUE DEVELOPMENT,15,433,82,0.03382134138630781
AMP CATABOLIC PROCESS,2,433,3,0.03416699359819409
REGULATION OF TRIGLYCERIDE CATABOLIC PROCESS,2,433,3,0.03416699359819409
NEGATIVE REGULATION OF ATP DEPENDENT ACTIVITY,2,433,3,0.03416699359819409
UREA METABOLIC PROCESS,2,433,3,0.03416699359819409
POLYOL TRANSMEMBRANE TRANSPORT,2,433,3,0.03416699359819409
ADENYLATE CYCLASE ACTIVATING ADRENERGIC RECEPTOR SIGNALING PATHWAY,2,433,3,0.03416699359819409
AMP METABOLIC PROCESS,2,433,3,0.03416699359819409
NITROGEN CYCLE METABOLIC PROCESS,2,433,3,0.03416699359819409
REGULATION OF IRON ION TRANSMEMBRANE TRANSPORT,2,433,3,0.03416699359819409
PRIMARY ALCOHOL CATABOLIC PROCESS,2,433,3,0.03416699359819409
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM,2,433,3,0.03416699359819409
REGULATION OF AMINO ACID TRANSMEMBRANE TRANSPORT,2,433,3,0.03416699359819409
NATURAL KILLER CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,2,433,3,0.03416699359819409
RETROGRADE TRANSPORT ENDOSOME TO GOLGI,2,433,3,0.03416699359819409
T CELL EXTRAVASATION,2,433,3,0.03416699359819409
TRIPEPTIDE TRANSPORT,2,433,3,0.03416699359819409
REGULATION OF CENTROSOME CYCLE,2,433,3,0.03416699359819409
REGULATION OF MYD88 DEPENDENT TOLL LIKE RECEPTOR SIGNALING PATHWAY,2,433,3,0.03416699359819409
ALANINE TRANSPORT,2,433,3,0.03416699359819409
NEGATIVE REGULATION OF OSTEOCLAST DEVELOPMENT,2,433,3,0.03416699359819409
RESPONSE TO HERBICIDE,2,433,3,0.03416699359819409
RESPONSE TO INTERLEUKIN 18,2,433,3,0.03416699359819409
POSITIVE REGULATION OF COA TRANSFERASE ACTIVITY,2,433,3,0.03416699359819409
REGULATION OF INTESTINAL LIPID ABSORPTION,2,433,3,0.03416699359819409
PROTEIN NITROSYLATION,2,433,3,0.03416699359819409
CELLULAR RESPONSE TO ALDOSTERONE,2,433,3,0.03416699359819409
CELLULAR RESPONSE TO INTERLEUKIN 18,2,433,3,0.03416699359819409
NEGATIVE REGULATION OF TRIGLYCERIDE STORAGE,2,433,3,0.03416699359819409
REGULATION OF RESPONSE TO TYPE II INTERFERON,2,433,3,0.03416699359819409
HOMOTYPIC CELL CELL ADHESION,8,433,35,0.03420617872967824
CIRCADIAN REGULATION OF GENE EXPRESSION,6,433,23,0.03525746937684518
ALPHA AMINO ACID METABOLIC PROCESS,6,433,23,0.03525746937684518
VACUOLAR LOCALIZATION,6,433,23,0.03525746937684518
XENOBIOTIC METABOLIC PROCESS,7,433,29,0.035336605451260605
REGULATION OF LIPID METABOLIC PROCESS,18,433,104,0.035425943806356275
TRIGLYCERIDE BIOSYNTHETIC PROCESS,4,433,12,0.035881021030874885
INTRACELLULAR SODIUM ION HOMEOSTASIS,4,433,12,0.035881021030874885
PROTEIN CONTAINING COMPLEX REMODELING,4,433,12,0.035881021030874885
REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,4,433,12,0.035881021030874885
RESPONSE TO VITAMIN D,4,433,12,0.035881021030874885
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT,4,433,12,0.035881021030874885
MONOCARBOXYLIC ACID CATABOLIC PROCESS,4,433,12,0.035881021030874885
SODIUM ION TRANSMEMBRANE TRANSPORT,11,433,55,0.036215042154247166
MONOATOMIC ION TRANSPORT,43,433,297,0.03680356058410003
REGULATION OF BLOOD PRESSURE,12,433,62,0.03707755076810276
