pathway,overlap,gene_set_size,pathway_size,p_value
HETEROTYPIC CELL CELL ADHESION,12,433,26,6.778131814003842e-06
LIPID METABOLIC PROCESS,53,433,272,1.707605878908781e-05
SMALL MOLECULE METABOLIC PROCESS,54,433,292,6.571974770676547e-05
RESPONSE TO BIOTIC STIMULUS,68,433,394,7.045190916755027e-05
POSITIVE REGULATION OF DEFENSE RESPONSE,29,433,127,9.045166295053847e-05
REGULATION OF DEFENSE RESPONSE,41,433,212,0.0001950286950665155
REGULATION OF RESPONSE TO EXTERNAL STIMULUS,53,433,299,0.0002436409410010204
REGULATION OF HYDROLASE ACTIVITY,20,433,79,0.00026636927798160456
ORGANIC ACID METABOLIC PROCESS,34,433,168,0.0002874851168589592
ACTIVATION OF IMMUNE RESPONSE,29,433,136,0.00032257326406548415
IMMUNE RESPONSE REGULATING SIGNALING PATHWAY,28,433,130,0.00034301315669142733
DEFENSE RESPONSE TO OTHER ORGANISM,50,433,282,0.00036717019043135834
AMINO ACID TRANSMEMBRANE TRANSPORT,9,433,23,0.0004617773361737272
NEGATIVE REGULATION OF HYDROLASE ACTIVITY,10,433,28,0.0005282092877071607
REGULATION OF RESPONSE TO STRESS,53,433,310,0.0006136187598197437
NEGATIVE REGULATION OF SIGNALING RECEPTOR ACTIVITY,4,433,5,0.0006836193124462977
G PROTEIN COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY,5,433,8,0.0006935159576434428
INFLAMMATORY RESPONSE,45,433,254,0.0007443522795468467
IMPORT ACROSS PLASMA MEMBRANE,15,433,56,0.0008212048842722495
IMMUNE RESPONSE REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,21,433,92,0.0008496506207486914
RESPONSE TO BACTERIUM,40,433,221,0.000957759835851707
DEFENSE RESPONSE TO GRAM NEGATIVE BACTERIUM,8,433,21,0.0011857611805290962
INORGANIC ANION TRANSPORT,15,433,58,0.0012192355055460882
STRIATED MUSCLE CONTRACTION,15,433,58,0.0012192355055460882
PURINE DEOXYRIBONUCLEOSIDE METABOLIC PROCESS,3,433,3,0.0013591116050596817
DGMP METABOLIC PROCESS,3,433,3,0.0013591116050596817
GUANINE CATABOLIC PROCESS,3,433,3,0.0013591116050596817
ALLANTOIN METABOLIC PROCESS,3,433,3,0.0013591116050596817
PURINE DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS,3,433,3,0.0013591116050596817
PURINE DEOXYRIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,3,433,3,0.0013591116050596817
PURINE DEOXYRIBONUCLEOTIDE METABOLIC PROCESS,3,433,3,0.0013591116050596817
GMP METABOLIC PROCESS,3,433,3,0.0013591116050596817
PURINE NUCLEOSIDE CATABOLIC PROCESS,3,433,3,0.0013591116050596817
GMP CATABOLIC PROCESS,3,433,3,0.0013591116050596817
GUANINE METABOLIC PROCESS,3,433,3,0.0013591116050596817
DEOXYGUANOSINE METABOLIC PROCESS,3,433,3,0.0013591116050596817
PURINE DEOXYRIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,3,433,3,0.0013591116050596817
CHEMICAL HOMEOSTASIS,50,433,298,0.001360860415431981
CELLULAR RESPONSE TO TYPE II INTERFERON,7,433,17,0.0014237366112663833
FATTY ACID METABOLIC PROCESS,18,433,77,0.0014727119429574435
NEGATIVE REGULATION OF CATALYTIC ACTIVITY,17,433,71,0.0014962660115967956
SULFUR COMPOUND TRANSPORT,6,433,13,0.0015662583158995737
REGULATION OF INFLAMMATORY RESPONSE,23,433,110,0.0017532187197302881
REGULATION OF INNATE IMMUNE RESPONSE,23,433,110,0.0017532187197302881
LIPID CATABOLIC PROCESS,15,433,60,0.0017683998298207687
CELLULAR HOMEOSTASIS,40,433,228,0.001781289087097998
RESPONSE TO REDOX STATE,4,433,6,0.0018709325724462586
POSITIVE REGULATION OF IMMUNE RESPONSE,35,433,193,0.0019178742494132134
POSITIVE REGULATION OF INFLAMMATORY RESPONSE,11,433,38,0.002051328126523714
NUTRIENT STORAGE,10,433,33,0.002234754545722942
DEFENSE RESPONSE TO SYMBIONT,40,433,231,0.00229137352429352
MONOATOMIC ANION HOMEOSTASIS,5,433,10,0.0025805563219292262
REGULATION OF HETEROTYPIC CELL CELL ADHESION,5,433,10,0.0025805563219292262
RESPONSE TO METAL ION,25,433,127,0.0027191653966933066
ACUTE INFLAMMATORY RESPONSE,10,433,34,0.0028592611849608046
REGULATION OF MOLECULAR FUNCTION,59,433,377,0.0028689454139261645
GLYCEROLIPID METABOLIC PROCESS,14,433,57,0.002981336693232223
PEPTIDE CROSS LINKING,7,433,19,0.0030272103414932944
SODIUM ION HOMEOSTASIS,7,433,19,0.0030272103414932944
REGULATION OF CATALYTIC ACTIVITY,33,433,184,0.003092539602427313
POSITIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS,32,433,177,0.0031260218543613916
CELLULAR RESPONSE TO OXYGEN CONTAINING COMPOUND,55,433,348,0.0032115593965145158
STEROID METABOLIC PROCESS,19,433,89,0.0033720069320838193
DEFENSE RESPONSE TO BACTERIUM,19,433,89,0.0033720069320838193
NEGATIVE REGULATION OF MOLECULAR FUNCTION,29,433,157,0.003493736816278141
REGULATION OF IMMUNE RESPONSE,41,433,244,0.003591799891708076
SKELETAL MUSCLE CONTRACTION,6,433,15,0.0037622406330599253
POSITIVE REGULATION OF FATTY ACID METABOLIC PROCESS,6,433,15,0.0037622406330599253
NEGATIVE REGULATION OF LIPID STORAGE,4,433,7,0.003984014862130401
POSITIVE REGULATION OF HETEROTYPIC CELL CELL ADHESION,4,433,7,0.003984014862130401
ADENYLATE CYCLASE MODULATING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,14,433,59,0.004185855778359387
TRIGLYCERIDE CATABOLIC PROCESS,5,433,11,0.004303940898426971
NEUTRAL LIPID CATABOLIC PROCESS,5,433,11,0.004303940898426971
REGULATION OF CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,5,433,11,0.004303940898426971
REGULATION OF TOLL LIKE RECEPTOR SIGNALING PATHWAY,5,433,11,0.004303940898426971
NUCLEOBASE CONTAINING SMALL MOLECULE CATABOLIC PROCESS,3,433,4,0.00498666346217639
ADHESION OF SYMBIONT TO HOST,3,433,4,0.00498666346217639
NUCLEOSIDE CATABOLIC PROCESS,3,433,4,0.00498666346217639
POSITIVE REGULATION OF TOLL LIKE RECEPTOR 4 SIGNALING PATHWAY,3,433,4,0.00498666346217639
PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,3,433,4,0.00498666346217639
GLYCOSYL COMPOUND CATABOLIC PROCESS,3,433,4,0.00498666346217639
GLYCEROL ETHER METABOLIC PROCESS,3,433,4,0.00498666346217639
NUCLEOBASE CATABOLIC PROCESS,3,433,4,0.00498666346217639
REGULATION OF TRIGLYCERIDE STORAGE,3,433,4,0.00498666346217639
PURINE NUCLEOBASE CATABOLIC PROCESS,3,433,4,0.00498666346217639
PURINE NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,3,433,4,0.00498666346217639
DEOXYRIBONUCLEOSIDE METABOLIC PROCESS,3,433,4,0.00498666346217639
ADRENERGIC RECEPTOR SIGNALING PATHWAY,3,433,4,0.00498666346217639
NEGATIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,3,433,4,0.00498666346217639
REGULATION OF OSTEOCLAST DEVELOPMENT,3,433,4,0.00498666346217639
DEOXYRIBONUCLEOSIDE CATABOLIC PROCESS,3,433,4,0.00498666346217639
TRIGLYCERIDE METABOLIC PROCESS,9,433,31,0.005069385566845479
ENERGY HOMEOSTASIS,9,433,31,0.005069385566845479
RESPONSE TO HORMONE,51,433,325,0.00525524742733372
SMALL MOLECULE CATABOLIC PROCESS,10,433,37,0.005599332868105014
MONOCARBOXYLIC ACID METABOLIC PROCESS,24,433,127,0.005664553311259988
IMPORT INTO CELL,36,433,213,0.005667764046529905
REGULATION OF SIGNALING RECEPTOR ACTIVITY,7,433,21,0.005737455682089657
TYPE II INTERFERON PRODUCTION,12,433,49,0.00596316607765503
SMALL MOLECULE BIOSYNTHETIC PROCESS,21,433,107,0.006014517664629609
REGULATION OF CIRCADIAN RHYTHM,9,433,32,0.0063781365021072555
MONOATOMIC ION HOMEOSTASIS,30,433,171,0.006542986951958002
ACTIVATION OF INNATE IMMUNE RESPONSE,14,433,62,0.006705784844891915
AMINO ACID IMPORT ACROSS PLASMA MEMBRANE,5,433,12,0.006714147708643175
PHOSPHATIDYLCHOLINE METABOLIC PROCESS,5,433,12,0.006714147708643175
POSITIVE REGULATION OF HYDROLASE ACTIVITY,10,433,38,0.006866477418669764
INORGANIC ION IMPORT ACROSS PLASMA MEMBRANE,10,433,38,0.006866477418669764
NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS,25,433,136,0.006925222519654573
REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,8,433,27,0.007104159597826027
REGULATION OF STRIATED MUSCLE CONTRACTION,8,433,27,0.007104159597826027
POSITIVE REGULATION OF TYPE II INTERFERON PRODUCTION,8,433,27,0.007104159597826027
REGULATION OF SYSTEM PROCESS,36,433,216,0.007126167904254548
NEGATIVE REGULATION OF ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY,4,433,8,0.00727451376661736
GLYCOSYL COMPOUND METABOLIC PROCESS,4,433,8,0.00727451376661736
NUCLEOBASE METABOLIC PROCESS,4,433,8,0.00727451376661736
NEGATIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY,4,433,8,0.00727451376661736
CELLULAR RESPONSE TO NITROGEN COMPOUND,31,433,180,0.007575303209743638
GLYCEROLIPID CATABOLIC PROCESS,6,433,17,0.007668919033660842
CIRCULATORY SYSTEM PROCESS,33,433,195,0.007793467479012557
TRANSMEMBRANE TRANSPORT,53,433,347,0.007803369021482561
MEMBRANE LIPID METABOLIC PROCESS,9,433,33,0.007931904735751373
RESPONSE TO NITROGEN COMPOUND,44,433,278,0.008033345577283033
RESPONSE TO PEPTIDE HORMONE,27,433,152,0.008181513117722361
BIOLOGICAL PROCESS INVOLVED IN INTERACTION WITH HOST,8,433,28,0.009005597138417998
RESPONSE TO KETONE,16,433,77,0.0090152182574628
RESPONSE TO STEROID HORMONE,22,433,118,0.009296575255808183
LIPID BIOSYNTHETIC PROCESS,23,433,125,0.009297325005828192
INORGANIC ION HOMEOSTASIS,27,433,154,0.00974109402718355
POSITIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS,12,433,52,0.009806302353058006
REGULATION OF MUSCLE CONTRACTION,12,433,52,0.009806302353058006
MONOATOMIC ANION TRANSPORT,12,433,52,0.009806302353058006
RESPONSE TO ACTIVITY,7,433,23,0.00994282575651087
POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS,19,433,98,0.01000865240157649
REGULATION OF RESPONSE TO BIOTIC STIMULUS,24,433,133,0.010159134842904389
MUSCLE CONTRACTION,20,433,105,0.010160314801722864
AMIDE METABOLIC PROCESS,16,433,78,0.010220313311688382
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION,23,433,126,0.010232817724173462
MULTICELLULAR ORGANISMAL MOVEMENT,6,433,18,0.010448218162679586
POSITIVE REGULATION OF CELL MATRIX ADHESION,6,433,18,0.010448218162679586
REGULATION OF LIPID STORAGE,6,433,18,0.010448218162679586
ADAPTIVE IMMUNE RESPONSE,24,433,134,0.011133286444580911
MYD88 DEPENDENT TOLL LIKE RECEPTOR SIGNALING PATHWAY,3,433,5,0.011441229686771531
POSITIVE REGULATION OF FATTY ACID OXIDATION,3,433,5,0.011441229686771531
TRIGLYCERIDE RICH LIPOPROTEIN PARTICLE REMODELING,3,433,5,0.011441229686771531
NEGATIVE REGULATION OF NEUROINFLAMMATORY RESPONSE,3,433,5,0.011441229686771531
LIPID DIGESTION,3,433,5,0.011441229686771531
PURINE NUCLEOSIDE METABOLIC PROCESS,3,433,5,0.011441229686771531
AMIDE CATABOLIC PROCESS,3,433,5,0.011441229686771531
POSITIVE REGULATION OF LIPASE ACTIVITY,3,433,5,0.011441229686771531
BONE CELL DEVELOPMENT,3,433,5,0.011441229686771531
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS,3,433,5,0.011441229686771531
DEOXYRIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,3,433,5,0.011441229686771531
SULFUR AMINO ACID TRANSPORT,3,433,5,0.011441229686771531
CD8 POSITIVE ALPHA BETA T CELL PROLIFERATION,3,433,5,0.011441229686771531
NEGATIVE REGULATION OF CHOLESTEROL STORAGE,3,433,5,0.011441229686771531
ORGANOPHOSPHATE METABOLIC PROCESS,26,433,149,0.01177723234031176
REGULATION OF BIOLOGICAL PROCESS INVOLVED IN SYMBIOTIC INTERACTION,4,433,9,0.011959142877387589
POSITIVE REGULATION OF INTERLEUKIN 17 PRODUCTION,4,433,9,0.011959142877387589
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY CIRCULATORY RENIN ANGIOTENSIN,4,433,9,0.011959142877387589
REGULATION OF FATTY ACID OXIDATION,4,433,9,0.011959142877387589
T CELL RECEPTOR SIGNALING PATHWAY,10,433,41,0.012023272003833798
RIBONUCLEOSIDE CATABOLIC PROCESS,2,433,2,0.012295072269437818
INOSINE METABOLIC PROCESS,2,433,2,0.012295072269437818
DEOXYINOSINE METABOLIC PROCESS,2,433,2,0.012295072269437818
DAMP CATABOLIC PROCESS,2,433,2,0.012295072269437818
IMP METABOLIC PROCESS,2,433,2,0.012295072269437818
DAMP METABOLIC PROCESS,2,433,2,0.012295072269437818
G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY INVOLVED IN HEART PROCESS,2,433,2,0.012295072269437818
NEGATIVE REGULATION OF AUTOPHAGOSOME ASSEMBLY,2,433,2,0.012295072269437818
NON CANONICAL INFLAMMASOME COMPLEX ASSEMBLY,2,433,2,0.012295072269437818
INTRACELLULAR AMINO ACID HOMEOSTASIS,2,433,2,0.012295072269437818
SERTOLI CELL PROLIFERATION,2,433,2,0.012295072269437818
NEGATIVE REGULATION OF MITOCHONDRIAL FISSION,2,433,2,0.012295072269437818
XANTHINE METABOLIC PROCESS,2,433,2,0.012295072269437818
PURINE RIBONUCLEOSIDE CATABOLIC PROCESS,2,433,2,0.012295072269437818
INTRACELLULAR GLUTAMATE HOMEOSTASIS,2,433,2,0.012295072269437818
HYPOXANTHINE METABOLIC PROCESS,2,433,2,0.012295072269437818
REGULATION OF INTESTINAL CHOLESTEROL ABSORPTION,2,433,2,0.012295072269437818
IMP CATABOLIC PROCESS,2,433,2,0.012295072269437818
ADENOSINE CATABOLIC PROCESS,2,433,2,0.012295072269437818
INOSINE CATABOLIC PROCESS,2,433,2,0.012295072269437818
L CYSTINE TRANSPORT,2,433,2,0.012295072269437818
BASIC AMINO ACID TRANSPORT,2,433,2,0.012295072269437818
SULFUR AMINO ACID METABOLIC PROCESS,2,433,2,0.012295072269437818
REGULATION OF PROTEIN SECRETION,19,433,100,0.012398194435779707
L AMINO ACID TRANSPORT,6,433,19,0.013873298695534799
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY,6,433,19,0.013873298695534799
CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,6,433,19,0.013873298695534799
BONE RESORPTION,8,433,30,0.013911277084693726
REGULATION OF NEUROINFLAMMATORY RESPONSE,5,433,14,0.014067382207180177
L ALPHA AMINO ACID TRANSMEMBRANE TRANSPORT,5,433,14,0.014067382207180177
POTASSIUM ION HOMEOSTASIS,5,433,14,0.014067382207180177
