pathway,overlap,gene_set_size,pathway_size,p_value
RESPONSE TO BACTERIUM,32,252,221,8.45830832262476e-06
RESPONSE TO BIOTIC STIMULUS,47,252,394,1.4295587923583953e-05
DEFENSE RESPONSE TO OTHER ORGANISM,37,252,282,1.639641122337438e-05
DEFENSE RESPONSE TO BACTERIUM,17,252,89,3.868661599446251e-05
DEFENSE RESPONSE TO SYMBIONT,31,252,231,5.522425860687627e-05
RENAL ABSORPTION,6,252,13,7.994952652011687e-05
CILIUM MOVEMENT,11,252,47,0.00014227956757514377
MICROTUBULE BUNDLE FORMATION,8,252,26,0.00015274532769018296
NEGATIVE REGULATION OF INFLAMMASOME MEDIATED SIGNALING PATHWAY,4,252,6,0.0002301072591204046
AXONEME ASSEMBLY,7,252,22,0.0003179304023503976
XENOBIOTIC METABOLIC PROCESS,8,252,29,0.00035403610810519305
MONOCARBOXYLIC ACID CATABOLIC PROCESS,5,252,12,0.0005879360766109103
HUMORAL IMMUNE RESPONSE,13,252,74,0.0007478247340407429
NEGATIVE REGULATION OF CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,4,252,8,0.0009678082656425258
REGULATION OF PHOSPHATE TRANSPORT,3,252,4,0.0010152169160052562
FATTY ACID METABOLIC PROCESS,13,252,77,0.0011027675498861227
LIPID CATABOLIC PROCESS,11,252,60,0.0013210051953897607
CILIUM ORGANIZATION,10,252,52,0.0014920870513389563
ANTIMICROBIAL HUMORAL RESPONSE,9,252,44,0.0016277672302349264
ORGANIC ACID CATABOLIC PROCESS,6,252,21,0.0016278570849438097
SMALL MOLECULE CATABOLIC PROCESS,8,252,37,0.0020273820110784375
RENAL SODIUM ION ABSORPTION,3,252,5,0.002416830123530863
AIM2 INFLAMMASOME COMPLEX ASSEMBLY,3,252,5,0.002416830123530863
RENAL SODIUM ION TRANSPORT,3,252,5,0.002416830123530863
NEGATIVE REGULATION OF AIM2 INFLAMMASOME COMPLEX ASSEMBLY,3,252,5,0.002416830123530863
MICROTUBULE CYTOSKELETON ORGANIZATION,11,252,65,0.0025874199827746274
MICROTUBULE BASED MOVEMENT,11,252,65,0.0025874199827746274
SMALL MOLECULE METABOLIC PROCESS,31,252,292,0.00341157195043696
CILIUM OR FLAGELLUM DEPENDENT CELL MOTILITY,8,252,40,0.003411783078693044
SPERMATID DIFFERENTIATION,8,252,40,0.003411783078693044
MICROTUBULE BASED PROCESS,15,252,109,0.0038985689264769874
REGULATION OF CILIUM MOVEMENT,4,252,11,0.003907088787133584
RESPONSE TO STARVATION,9,252,50,0.004093033709098937
GLUTAMINE METABOLIC PROCESS,2,252,2,0.004157513852463866
AXONEMAL CENTRAL APPARATUS ASSEMBLY,2,252,2,0.004157513852463866
RESPONSE TO OZONE,2,252,2,0.004157513852463866
CELLULAR RESPONSE TO BILE ACID,2,252,2,0.004157513852463866
REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,7,252,33,0.004316144505283956
POSITIVE REGULATION OF CILIUM MOVEMENT,3,252,6,0.004603552987941321
REGULATION OF CILIUM DEPENDENT CELL MOTILITY,3,252,6,0.004603552987941321
XENOBIOTIC TRANSPORT,5,252,18,0.004613880411560514
REGULATION OF LIPID CATABOLIC PROCESS,5,252,18,0.004613880411560514
RENAL SYSTEM PROCESS,8,252,42,0.0046806146262092195
RESPONSE TO NUTRIENT LEVELS,18,252,144,0.004715352461642648
ORGANIC ACID METABOLIC PROCESS,20,252,168,0.0051856903627550115
MONONUCLEAR CELL DIFFERENTIATION,23,252,204,0.005527738448116455
REGULATION OF MICROTUBULE BASED MOVEMENT,4,252,12,0.005566665142394919
INFLAMMASOME MEDIATED SIGNALING PATHWAY,4,252,12,0.005566665142394919
REGULATION OF CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,5,252,19,0.0059373111545644825
REGULATION OF MICROTUBULE BASED PROCESS,6,252,27,0.0064007866925153475
REGULATION OF FATTY ACID METABOLIC PROCESS,6,252,27,0.0064007866925153475
MONOCARBOXYLIC ACID METABOLIC PROCESS,16,252,127,0.007011771793958748
T HELPER 17 CELL DIFFERENTIATION,4,252,13,0.0076383262410514826
RESPONSE TO INTERFERON BETA,4,252,13,0.0076383262410514826
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS,3,252,7,0.007673947685107123
FATTY ACID CATABOLIC PROCESS,3,252,7,0.007673947685107123
T HELPER 17 CELL LINEAGE COMMITMENT,3,252,7,0.007673947685107123
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,7,252,37,0.008338614348079861
REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,4,252,14,0.010159699779848513
EXTRACELLULAR TRANSPORT,4,252,14,0.010159699779848513
CELLULAR RESPONSE TO FATTY ACID,4,252,14,0.010159699779848513
RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,14,252,110,0.010419030138058748
LIPID MODIFICATION,6,252,30,0.01091144583057434
CELLULAR RESPONSE TO XENOBIOTIC STIMULUS,9,252,58,0.011074831777120065
ADAPTIVE IMMUNE RESPONSE,16,252,134,0.01160982376208696
T HELPER CELL LINEAGE COMMITMENT,3,252,8,0.011697631336785882
NUCLEOBASE METABOLIC PROCESS,3,252,8,0.011697631336785882
NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,3,252,8,0.011697631336785882
REGULATION OF IRON ION TRANSMEMBRANE TRANSPORT,2,252,3,0.011939390255459837
PURINE DEOXYRIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,2,252,3,0.011939390255459837
PURINE NUCLEOSIDE CATABOLIC PROCESS,2,252,3,0.011939390255459837
GMP METABOLIC PROCESS,2,252,3,0.011939390255459837
PURINE DEOXYRIBONUCLEOSIDE METABOLIC PROCESS,2,252,3,0.011939390255459837
GUANINE CATABOLIC PROCESS,2,252,3,0.011939390255459837
PYRIMIDINE CONTAINING COMPOUND BIOSYNTHETIC PROCESS,2,252,3,0.011939390255459837
BILE ACID SECRETION,2,252,3,0.011939390255459837
GUANINE METABOLIC PROCESS,2,252,3,0.011939390255459837
ALLANTOIN METABOLIC PROCESS,2,252,3,0.011939390255459837
REGULATION OF SODIUM DEPENDENT PHOSPHATE TRANSPORT,2,252,3,0.011939390255459837
PEPTIDYL GLUTAMIC ACID MODIFICATION,2,252,3,0.011939390255459837
DGMP METABOLIC PROCESS,2,252,3,0.011939390255459837
SPHINGOID METABOLIC PROCESS,2,252,3,0.011939390255459837
DEOXYGUANOSINE METABOLIC PROCESS,2,252,3,0.011939390255459837
PROTEIN NITROSYLATION,2,252,3,0.011939390255459837
PURINE DEOXYRIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,2,252,3,0.011939390255459837
GMP CATABOLIC PROCESS,2,252,3,0.011939390255459837
NITROGEN CYCLE METABOLIC PROCESS,2,252,3,0.011939390255459837
RESPONSE TO BILE ACID,2,252,3,0.011939390255459837
REGULATION OF FATTY ACID BETA OXIDATION,2,252,3,0.011939390255459837
SENSORY PERCEPTION OF BITTER TASTE,2,252,3,0.011939390255459837
PURINE DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS,2,252,3,0.011939390255459837
PURINE DEOXYRIBONUCLEOTIDE METABOLIC PROCESS,2,252,3,0.011939390255459837
REGULATION OF BLOOD VOLUME BY RENIN ANGIOTENSIN,2,252,3,0.011939390255459837
UREA METABOLIC PROCESS,2,252,3,0.011939390255459837
