pathway,overlap,gene_set_size,pathway_size,p_value
ENERGY HOMEOSTASIS,6,252,31,0.01281780867631173
POSITIVE REGULATION OF FATTY ACID METABOLIC PROCESS,4,252,15,0.01316397735562683
T CELL LINEAGE COMMITMENT,4,252,15,0.01316397735562683
LYMPHOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE,9,252,60,0.013738981108807478
DENDRITIC CELL DIFFERENTIATION,5,252,23,0.013901160635948595
ORGANOPHOSPHATE METABOLIC PROCESS,17,252,149,0.014501972430147829
LIPID METABOLIC PROCESS,27,252,272,0.014816752593315404
CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,6,252,32,0.014946296328284725
T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,7,252,42,0.016597537075295783
CD4 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,7,252,42,0.016597537075295783
CELLULAR RESPONSE TO STARVATION,7,252,42,0.016597537075295783
INTERLEUKIN 17 PRODUCTION,4,252,16,0.01667966244977297
T HELPER 17 TYPE IMMUNE RESPONSE,4,252,16,0.01667966244977297
REGULATION OF FATTY ACID OXIDATION,3,252,9,0.016719398004040754
FATTY ACID DERIVATIVE METABOLIC PROCESS,3,252,9,0.016719398004040754
REGULATION OF APPETITE,3,252,9,0.016719398004040754
REGULATION OF GLUCONEOGENESIS,3,252,9,0.016719398004040754
GLANDULAR EPITHELIAL CELL DEVELOPMENT,3,252,9,0.016719398004040754
NUCLEOBASE CONTAINING SMALL MOLECULE METABOLIC PROCESS,12,252,94,0.016755974505792793
ACTIVATION OF INNATE IMMUNE RESPONSE,9,252,62,0.016851159410547892
CD4 POSITIVE ALPHA BETA T CELL ACTIVATION,8,252,52,0.017081981822210993
FATTY ACID BIOSYNTHETIC PROCESS,6,252,33,0.017308552288951545
RESPONSE TO TOXIC SUBSTANCE,9,252,63,0.018587594540549313
PHAGOCYTOSIS,10,252,74,0.01937784358977907
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,12,252,96,0.019548242198999432
MOTILE CILIUM ASSEMBLY,4,252,17,0.02073044449112634
CELLULAR RESPONSE TO TYPE II INTERFERON,4,252,17,0.02073044449112634
LEUKOCYTE DIFFERENTIATION,24,252,243,0.022301596378033764
CELL PROJECTION ASSEMBLY,12,252,98,0.022674761634804908
ACYL COA METABOLIC PROCESS,3,252,10,0.022762881476338696
ALPHA BETA T CELL LINEAGE COMMITMENT,3,252,10,0.022762881476338696
POSITIVE REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,3,252,10,0.022762881476338696
SPERM FLAGELLUM ASSEMBLY,3,252,10,0.022762881476338696
LEUKOTRIENE METABOLIC PROCESS,3,252,10,0.022762881476338696
PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS,2,252,4,0.02286356359491442
DIOL METABOLIC PROCESS,2,252,4,0.02286356359491442
NEGATIVE REGULATION OF THYMOCYTE APOPTOTIC PROCESS,2,252,4,0.02286356359491442
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF TASTE,2,252,4,0.02286356359491442
FATTY ACID BETA OXIDATION,2,252,4,0.02286356359491442
DEOXYRIBONUCLEOSIDE METABOLIC PROCESS,2,252,4,0.02286356359491442
PEPTIDYL CYSTEINE MODIFICATION,2,252,4,0.02286356359491442
NUCLEOSIDE CATABOLIC PROCESS,2,252,4,0.02286356359491442
QUATERNARY AMMONIUM GROUP TRANSPORT,2,252,4,0.02286356359491442
REGULATION OF SKELETAL MUSCLE CONTRACTION,2,252,4,0.02286356359491442
NUCLEOBASE CONTAINING SMALL MOLECULE CATABOLIC PROCESS,2,252,4,0.02286356359491442
PURINE NUCLEOBASE CATABOLIC PROCESS,2,252,4,0.02286356359491442
ACETYL COA METABOLIC PROCESS,2,252,4,0.02286356359491442
GLYCOSYL COMPOUND CATABOLIC PROCESS,2,252,4,0.02286356359491442
PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,2,252,4,0.02286356359491442
PURINE NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,2,252,4,0.02286356359491442
DEOXYRIBONUCLEOSIDE CATABOLIC PROCESS,2,252,4,0.02286356359491442
NUCLEOBASE CATABOLIC PROCESS,2,252,4,0.02286356359491442
NEGATIVE REGULATION OF TOLL LIKE RECEPTOR SIGNALING PATHWAY,2,252,4,0.02286356359491442
NEGATIVE REGULATION OF NATURAL KILLER CELL ACTIVATION,2,252,4,0.02286356359491442
PHOSPHATIDIC ACID METABOLIC PROCESS,2,252,4,0.02286356359491442
MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS,7,252,45,0.023690434636831362
LIPID HOMEOSTASIS,7,252,45,0.023690434636831362
REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,4,252,18,0.025335177085287992
ANTIBACTERIAL HUMORAL RESPONSE,4,252,18,0.025335177085287992
MONOCYTE DIFFERENTIATION,4,252,18,0.025335177085287992
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION,4,252,18,0.025335177085287992
REGULATION OF GLUCOSE METABOLIC PROCESS,5,252,27,0.027025726105169855
LONG CHAIN FATTY ACID METABOLIC PROCESS,5,252,27,0.027025726105169855
RESPONSE TO PROTOZOAN,3,252,11,0.029833803734790613
NEGATIVE REGULATION OF T CELL APOPTOTIC PROCESS,3,252,11,0.029833803734790613
PHOSPHATE ION TRANSPORT,3,252,11,0.029833803734790613
CD4 POSITIVE OR CD8 POSITIVE ALPHA BETA T CELL LINEAGE COMMITMENT,3,252,11,0.029833803734790613
REGULATION OF TOLL LIKE RECEPTOR SIGNALING PATHWAY,3,252,11,0.029833803734790613
NEGATIVE REGULATION OF BLOOD PRESSURE,3,252,11,0.029833803734790613
POSITIVE REGULATION OF INTERLEUKIN 1 BETA PRODUCTION,4,252,19,0.030507941333480938
LIPID OXIDATION,4,252,19,0.030507941333480938
POSITIVE REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS,4,252,19,0.030507941333480938
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS,8,252,58,0.03121232289603644
INORGANIC ANION TRANSPORT,8,252,58,0.03121232289603644
REGULATION OF VIRAL LIFE CYCLE,5,252,28,0.031223536213231297
ADIPOSE TISSUE DEVELOPMENT,5,252,28,0.031223536213231297
IMPORT INTO CELL,21,252,213,0.032075655920084524
RESPONSE TO XENOBIOTIC STIMULUS,16,252,151,0.032617160361087826
INORGANIC ION IMPORT ACROSS PLASMA MEMBRANE,6,252,38,0.03298480806374877
RESPONSE TO PEPTIDE,27,252,292,0.033983815530585534
INFLAMMATORY RESPONSE,24,252,254,0.03561889123015057
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,11,252,93,0.035665584126038825
MONOCARBOXYLIC ACID TRANSPORT,7,252,49,0.03606043527169056
POSITIVE REGULATION OF LIPID METABOLIC PROCESS,7,252,49,0.03606043527169056
POSITIVE REGULATION OF INTERLEUKIN 1 PRODUCTION,4,252,20,0.03625817768524436
COLUMNAR CUBOIDAL EPITHELIAL CELL DEVELOPMENT,4,252,20,0.03625817768524436
REGULATION OF VIRAL GENOME REPLICATION,4,252,20,0.03625817768524436
REGULATION OF IRON ION TRANSPORT,2,252,5,0.03649471924250345
REGULATION OF ENDOTHELIAL TUBE MORPHOGENESIS,2,252,5,0.03649471924250345
REGULATION OF THYMOCYTE APOPTOTIC PROCESS,2,252,5,0.03649471924250345
TRIGLYCERIDE RICH LIPOPROTEIN PARTICLE REMODELING,2,252,5,0.03649471924250345
PURINE NUCLEOSIDE METABOLIC PROCESS,2,252,5,0.03649471924250345
INTERLEUKIN 13 PRODUCTION,2,252,5,0.03649471924250345
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS,2,252,5,0.03649471924250345
DETECTION OF EXTERNAL BIOTIC STIMULUS,2,252,5,0.03649471924250345
DEOXYRIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,2,252,5,0.03649471924250345
REGULATION OF FLAGELLATED SPERM MOTILITY,2,252,5,0.03649471924250345
CELLULAR RESPONSE TO LEPTIN STIMULUS,2,252,5,0.03649471924250345
NEGATIVE REGULATION OF COLLAGEN METABOLIC PROCESS,2,252,5,0.03649471924250345
DIET INDUCED THERMOGENESIS,2,252,5,0.03649471924250345
AMIDE CATABOLIC PROCESS,2,252,5,0.03649471924250345
POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS,6,252,39,0.036953342604864846
INTRACELLULAR RECEPTOR SIGNALING PATHWAY,14,252,129,0.03698768844507239
IMMUNE EFFECTOR PROCESS,20,252,204,0.03787293237035813
REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,3,252,12,0.03792284993225586
RESPONSE TO GROWTH HORMONE,3,252,12,0.03792284993225586
STEROL HOMEOSTASIS,5,252,30,0.040788087838061954
NEGATIVE REGULATION OF VIRAL PROCESS,4,252,21,0.042590872007798125
CELL ACTIVATION,33,252,379,0.04298763821680778
MYELOID LEUKOCYTE DIFFERENTIATION,12,252,108,0.04403914780213941
REGULATION OF REACTIVE OXYGEN SPECIES METABOLIC PROCESS,6,252,41,0.045776234725023984
CELLULAR RESPONSE TO RADIATION,5,252,31,0.04616698767686005
POSITIVE REGULATION OF COLD INDUCED THERMOGENESIS,5,252,31,0.04616698767686005
REGULATION OF VIRAL PROCESS,5,252,31,0.04616698767686005
RESPONSE TO FOOD,3,252,13,0.047008207039617146
ACYLGLYCEROL HOMEOSTASIS,3,252,13,0.047008207039617146
MYELOID DENDRITIC CELL DIFFERENTIATION,3,252,13,0.047008207039617146
ACID SECRETION,3,252,13,0.047008207039617146
LIPOPROTEIN METABOLIC PROCESS,3,252,13,0.047008207039617146
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY RENIN ANGIOTENSIN,3,252,13,0.047008207039617146
CELLULAR RESPONSE TO NUTRIENT LEVELS,8,252,63,0.04789284867008517
RESPONSE TO LIPID,28,252,315,0.04817942950910781
ARACHIDONATE METABOLIC PROCESS,4,252,22,0.04950678353943933
VIRAL GENOME REPLICATION,4,252,22,0.04950678353943933
RESPONSE TO FATTY ACID,4,252,22,0.04950678353943933
REGULATION OF INNATE IMMUNE RESPONSE,12,252,110,0.04958732602018668
REGULATION OF KETONE METABOLIC PROCESS,6,252,42,0.05063935099997872
INTERLEUKIN 1 PRODUCTION,5,252,32,0.05194859718585547
REGULATION OF CIRCADIAN RHYTHM,5,252,32,0.05194859718585547
CELLULAR PROCESS INVOLVED IN REPRODUCTION IN MULTICELLULAR ORGANISM,10,252,87,0.05196577636405106
POSITIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,2,252,6,0.05244030236978452
THYMOCYTE APOPTOTIC PROCESS,2,252,6,0.05244030236978452
REGULATION OF AMINO ACID METABOLIC PROCESS,2,252,6,0.05244030236978452
FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS,2,252,6,0.05244030236978452
PURINE NUCLEOBASE METABOLIC PROCESS,2,252,6,0.05244030236978452
POSITIVE REGULATION OF LIPID CATABOLIC PROCESS,2,252,6,0.05244030236978452
REGULATION OF CILIUM BEAT FREQUENCY,2,252,6,0.05244030236978452
NUCLEOSIDE METABOLIC PROCESS,2,252,6,0.05244030236978452
NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,2,252,6,0.05244030236978452
DEOXYRIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,2,252,6,0.05244030236978452
NADP METABOLIC PROCESS,2,252,6,0.05244030236978452
XENOBIOTIC TRANSMEMBRANE TRANSPORT,2,252,6,0.05244030236978452
INNATE IMMUNE RESPONSE IN MUCOSA,2,252,6,0.05244030236978452
POSITIVE REGULATION OF ORGANELLE ASSEMBLY,2,252,6,0.05244030236978452
POSITIVE REGULATION OF MAST CELL DEGRANULATION,2,252,6,0.05244030236978452
FATTY ACID HOMEOSTASIS,2,252,6,0.05244030236978452
DEOXYRIBONUCLEOTIDE METABOLIC PROCESS,2,252,6,0.05244030236978452
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,2,252,6,0.05244030236978452
TOLL LIKE RECEPTOR 9 SIGNALING PATHWAY,2,252,6,0.05244030236978452
POSITIVE REGULATION OF GLUCONEOGENESIS,2,252,6,0.05244030236978452
ACTIVATION OF IMMUNE RESPONSE,14,252,136,0.05395234532950667
ALPHA AMINO ACID METABOLIC PROCESS,4,252,23,0.05700270415070052
BILE ACID METABOLIC PROCESS,3,252,14,0.05705779992864496
REGULATION OF INTERLEUKIN 4 PRODUCTION,3,252,14,0.05705779992864496
ZYMOGEN ACTIVATION,3,252,14,0.05705779992864496
NEGATIVE REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS,3,252,14,0.05705779992864496
REGULATION OF RESPONSE TO NUTRIENT LEVELS,3,252,14,0.05705779992864496
IRON ION TRANSPORT,3,252,14,0.05705779992864496
REGULATION OF CYTOSKELETON ORGANIZATION,9,252,77,0.058087909800134695
T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE,5,252,33,0.05813431948887403
DEFENSE RESPONSE TO GRAM POSITIVE BACTERIUM,5,252,33,0.05813431948887403
PURINE CONTAINING COMPOUND METABOLIC PROCESS,10,252,89,0.05906684909138987
POSITIVE REGULATION OF TRANSPORT,23,252,255,0.06097891215307186
GLUCOSE METABOLIC PROCESS,6,252,44,0.06128326766638853
ADAPTIVE THERMOGENESIS,7,252,55,0.06155889877662686
PROCESS UTILIZING AUTOPHAGIC MECHANISM,7,252,55,0.06155889877662686
ALPHA BETA T CELL ACTIVATION,9,252,78,0.062131740013831246
AMIDE METABOLIC PROCESS,9,252,78,0.062131740013831246
LIPID LOCALIZATION,11,252,102,0.06274788191139757
RESPONSE TO ALCOHOL,10,252,90,0.06284432244711576
POSITIVE REGULATION OF DEFENSE RESPONSE,13,252,127,0.06420879976980304
NUCLEOSIDE DIPHOSPHATE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
PYRIMIDINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF IRON ION TRANSMEMBRANE TRANSPORT,1,252,1,0.0645988208151756
CILIARY NEUROTROPHIC FACTOR MEDIATED SIGNALING PATHWAY,1,252,1,0.0645988208151756
ORNITHINE METABOLIC PROCESS,1,252,1,0.0645988208151756
NUCLEOSIDE MONOPHOSPHATE PHOSPHORYLATION,1,252,1,0.0645988208151756
NUCLEOBASE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
MEIOTIC DNA DOUBLE STRAND BREAK FORMATION,1,252,1,0.0645988208151756
PEPTIDOGLYCAN METABOLIC PROCESS,1,252,1,0.0645988208151756
PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF PEPTIDYL LYSINE ACETYLATION,1,252,1,0.0645988208151756
SYMBIONT MEDIATED PERTURBATION OF HOST PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF NLRP3 INFLAMMASOME COMPLEX ASSEMBLY,1,252,1,0.0645988208151756
MICROTUBULE SEVERING,1,252,1,0.0645988208151756
SYMBIONT MEDIATED PERTURBATION OF HOST CELLULAR PROCESS,1,252,1,0.0645988208151756
HOMOCYSTEINE METABOLIC PROCESS,1,252,1,0.0645988208151756
REGULATION OF EXTRACELLULAR MATRIX CONSTITUENT SECRETION,1,252,1,0.0645988208151756
PROTEIN POLYGLUTAMYLATION,1,252,1,0.0645988208151756
PYRIMIDINE NUCLEOSIDE DIPHOSPHATE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF CELLULAR RESPIRATION,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF FIBROBLAST GROWTH FACTOR PRODUCTION,1,252,1,0.0645988208151756
POSITIVE REGULATION OF CILIUM ASSEMBLY,1,252,1,0.0645988208151756
TRICARBOXYLIC ACID METABOLIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF FATTY ACID BETA OXIDATION,1,252,1,0.0645988208151756
LEUKOTRIENE B4 METABOLIC PROCESS,1,252,1,0.0645988208151756
ESTABLISHMENT OF PROTEIN LOCALIZATION TO CHROMATIN,1,252,1,0.0645988208151756
RESPONSE TO ALUMINUM ION,1,252,1,0.0645988208151756
RESPONSE TO NOREPINEPHRINE,1,252,1,0.0645988208151756
METALLO SULFUR CLUSTER ASSEMBLY,1,252,1,0.0645988208151756
POSITIVE REGULATION OF FLAGELLATED SPERM MOTILITY INVOLVED IN CAPACITATION,1,252,1,0.0645988208151756
UDP BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
RIBONUCLEOSIDE DIPHOSPHATE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
REGULATION OF CILIUM BEAT FREQUENCY INVOLVED IN CILIARY MOTILITY,1,252,1,0.0645988208151756
POSITIVE REGULATION OF NON MOTILE CILIUM ASSEMBLY,1,252,1,0.0645988208151756
MANNOSYLATION,1,252,1,0.0645988208151756
FARNESYL DIPHOSPHATE METABOLIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF PROTEIN ACETYLATION,1,252,1,0.0645988208151756
UTERINE SMOOTH MUSCLE CONTRACTION,1,252,1,0.0645988208151756
N ACYLPHOSPHATIDYLETHANOLAMINE METABOLIC PROCESS,1,252,1,0.0645988208151756
N ACYLETHANOLAMINE METABOLIC PROCESS,1,252,1,0.0645988208151756
RIBOFLAVIN TRANSPORT,1,252,1,0.0645988208151756
POSITIVE REGULATION OF EXTRACELLULAR MATRIX CONSTITUENT SECRETION,1,252,1,0.0645988208151756
POSITIVE REGULATION OF UTERINE SMOOTH MUSCLE CONTRACTION,1,252,1,0.0645988208151756
BEHAVIORAL RESPONSE TO NICOTINE,1,252,1,0.0645988208151756
REGULATION OF BILE ACID SECRETION,1,252,1,0.0645988208151756
DE NOVO PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS,1,252,1,0.0645988208151756
OSTEOCLAST FUSION,1,252,1,0.0645988208151756
LEUKOTRIENE CATABOLIC PROCESS,1,252,1,0.0645988208151756
REGULATION OF HEPATOCYTE APOPTOTIC PROCESS,1,252,1,0.0645988208151756
NEGATIVE REGULATION OF HEPATOCYTE APOPTOTIC PROCESS,1,252,1,0.0645988208151756
ORGANOHALOGEN METABOLIC PROCESS,1,252,1,0.0645988208151756
POSITIVE REGULATION OF PLASMINOGEN ACTIVATION,1,252,1,0.0645988208151756
UDP METABOLIC PROCESS,1,252,1,0.0645988208151756
MALONYL COA METABOLIC PROCESS,1,252,1,0.0645988208151756
BRAIN RENIN ANGIOTENSIN SYSTEM,1,252,1,0.0645988208151756
POSITIVE REGULATION OF TORC2 SIGNALING,1,252,1,0.0645988208151756
LEUKOTRIENE B4 CATABOLIC PROCESS,1,252,1,0.0645988208151756
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,4,252,24,0.06507173988863496
NUCLEOTIDE METABOLIC PROCESS,9,252,79,0.06635131009294871
REGULATION OF CARBOHYDRATE METABOLIC PROCESS,7,252,56,0.06666258134590558
ALPHA BETA T CELL DIFFERENTIATION,7,252,56,0.06666258134590558
IMPORT ACROSS PLASMA MEMBRANE,7,252,56,0.06666258134590558
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY HORMONE,3,252,15,0.0680312555718995
RESPONSE TO DIETARY EXCESS,3,252,15,0.0680312555718995
GAMMA DELTA T CELL DIFFERENTIATION,3,252,15,0.0680312555718995
CELLULAR RESPONSE TO GLUCOSE STARVATION,3,252,15,0.0680312555718995
NEGATIVE REGULATION OF TYPE II INTERFERON PRODUCTION,3,252,15,0.0680312555718995
EATING BEHAVIOR,3,252,15,0.0680312555718995
MONOSACCHARIDE BIOSYNTHETIC PROCESS,3,252,15,0.0680312555718995
REGULATION OF LIPID METABOLIC PROCESS,11,252,104,0.07021523089904852
SPERM AXONEME ASSEMBLY,2,252,7,0.07034684424365552
PLASMINOGEN ACTIVATION,2,252,7,0.07034684424365552
