pathway,pred_E18.25_pval,real_E18.0_pval,real_E18.5_pval,real_E18.25_pval,pred_E18.25_neg_log_pval,real_E18.0_neg_log_pval,real_E18.5_neg_log_pval,real_E18.25_neg_log_pval
SMALL MOLECULE METABOLIC PROCESS,0.7127295071144828,6.571974770676547e-05,0.006950659609226476,0.12014589982453198,0.1470752609705134,4.1823041124580635,2.1579739794308552,0.9202910456171732
SKELETAL MUSCLE CONTRACTION,0.059891822870731005,0.0037622406330599253,0.6020437153888405,0.5297096703365436,1.2226324685045034,2.424553430405011,0.2203719727573713,0.2759620985473862
REGULATION OF RESPONSE TO STRESS,0.7348602775679658,0.0006136187598197437,0.00026332249273673187,0.667196914889477,0.13379522751392248,3.2121013714162236,3.5795120423210975,0.1757459705381443
REGULATION OF DEFENSE RESPONSE,,0.0001950286950665155,0.00010313214427172357,0.15330917387652943,,3.7099014850876886,3.9866059525237927,0.8144318565954115
ORGANIC ACID METABOLIC PROCESS,,0.0002874851168589592,0.00011516721966768685,0.0658686456102005,,3.541384633872914,3.93867111764289,1.1813212664213
MULTICELLULAR ORGANISMAL MOVEMENT,0.0714592889791055,0.010448218162679586,0.6691651048001543,0.5957187037479136,1.145941309348066,1.9809577677440855,0.17446671443389936,0.2249587641667407
LIPID METABOLIC PROCESS,,1.707605878908781e-05,0.0005687192317756604,0.003018575680482505,,4.767612358685819,3.2451020854231882,2.5201979312221647
