pathway,overlap,gene_set_size,pathway_size,p_value
RESPONSE TO CORTICOSTEROID,6,191,52,0.03979206060365266
RESPONSE TO MINERALOCORTICOID,3,191,16,0.040389071135536005
POSITIVE REGULATION OF ORGANIC ACID TRANSPORT,3,191,16,0.040389071135536005
RESPONSE TO BACTERIUM,17,191,221,0.04050226610132547
MITOTIC CELL CYCLE PHASE TRANSITION,7,191,66,0.040846839852802665
REGULATION OF INNATE IMMUNE RESPONSE,10,191,110,0.04138787669837039
NEGATIVE REGULATION OF SYNAPSE ORGANIZATION,2,191,7,0.042561392517603026
NEGATIVE REGULATION OF BONE REMODELING,2,191,7,0.042561392517603026
PROSTAGLANDIN TRANSPORT,2,191,7,0.042561392517603026
CYTOKINESIS,2,191,7,0.042561392517603026
POSITIVE REGULATION OF FATTY ACID TRANSPORT,2,191,7,0.042561392517603026
NEGATIVE REGULATION OF CELL JUNCTION ASSEMBLY,2,191,7,0.042561392517603026
INHIBITORY SYNAPSE ASSEMBLY,2,191,7,0.042561392517603026
PYRIMIDINE CONTAINING COMPOUND METABOLIC PROCESS,2,191,7,0.042561392517603026
PURINERGIC NUCLEOTIDE RECEPTOR SIGNALING PATHWAY,2,191,7,0.042561392517603026
REGULATION OF ICOSANOID SECRETION,2,191,7,0.042561392517603026
MAINTENANCE OF PROTEIN LOCATION IN CELL,2,191,7,0.042561392517603026
AMINO ACID TRANSPORT,5,191,40,0.043684343082993134
POSITIVE REGULATION OF DEFENSE RESPONSE,11,191,127,0.045006328098918455
MONOCARBOXYLIC ACID METABOLIC PROCESS,11,191,127,0.045006328098918455
BIOLOGICAL PROCESS INVOLVED IN INTERACTION WITH HOST,4,191,28,0.04540452050396959
REGULATION OF VIRAL LIFE CYCLE,4,191,28,0.04540452050396959
CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,3,191,17,0.04732604862379433
AMELOGENESIS,3,191,17,0.04732604862379433
RIBONUCLEOTIDE CATABOLIC PROCESS,5,191,41,0.04785319602485582
POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS,9,191,98,0.04888304018668677
HEMATOPOIETIC STEM CELL MIGRATION TO BONE MARROW,1,191,1,0.04896180466547039
NUCLEAR MEMBRANE REASSEMBLY,1,191,1,0.04896180466547039
VACUOLE FUSION,1,191,1,0.04896180466547039
POSITIVE REGULATION OF CYTOKINESIS,1,191,1,0.04896180466547039
